date,tmin,day_of_year,month,day_of_week,sin_doy,cos_doy,lag1,lag2,lag7,lag30,roll7,roll30,vol_7,diff1
2016-01-14,72.0,14,1,3,0.2386727660059501,0.9711000518829505,75.0,73.0,74.0,75.0,74.14285714285714,73.63333333333334,1.2149857925878897,-3.0
2016-03-08,78.0,68,3,1,0.9209712877166346,0.38963044953078796,77.0,77.0,76.0,75.0,76.42857142857143,77.1,1.6183471874253528,1.0
2016-03-09,78.0,69,3,2,0.9275416835791966,0.37371971479046906,78.0,77.0,76.0,77.0,76.71428571428571,77.13333333333334,1.704336206492671,0.0
2016-03-10,80.0,70,3,3,0.9338372288229252,0.35769823883312546,78.0,78.0,77.0,77.0,77.14285714285714,77.23333333333333,2.1157009420497954,2.0
2016-11-30,75.0,335,11,2,-0.49377555015997737,0.8695893893466109,73.0,74.0,77.0,75.0,74.71428571428571,75.23333333333333,1.3801311186847665,2.0
2016-12-01,76.0,336,12,3,-0.4787338401157883,0.8779600847008883,75.0,73.0,77.0,76.0,74.57142857142857,75.23333333333333,1.1338934190277552,1.0
2016-12-02,75.0,337,12,4,-0.4635502709028512,0.8860706215341378,76.0,75.0,74.0,75.0,74.71428571428571,75.23333333333333,1.1126972805284443,-1.0
2016-12-03,76.0,338,12,5,-0.4482293417404106,0.893918596519257,75.0,76.0,76.0,73.0,74.71428571428571,75.33333333333333,1.1126972805284443,1.0
2016-12-04,73.0,339,12,6,-0.4327755925504317,0.9015016841318838,76.0,75.0,74.0,76.0,74.57142857142857,75.23333333333333,1.2724180205607687,-3.0
2016-12-05,74.0,340,12,0,-0.41719360261231697,0.9088176373395028,73.0,76.0,74.0,75.0,74.57142857142857,75.2,1.2724180205607687,1.0
2016-12-06,76.0,341,12,1,-0.4014879892059737,0.9158642882672868,74.0,73.0,73.0,76.0,75.0,75.2,1.1547005383793105,2.0
2016-12-07,72.0,342,12,2,-0.38566340624360745,0.9226395488404875,76.0,74.0,75.0,75.0,74.57142857142857,75.1,1.618347187425424,-4.0
2016-12-08,75.0,343,12,3,-0.3697245428906732,0.9291414114031743,72.0,76.0,76.0,75.0,74.42857142857143,75.1,1.5118578920369654,3.0
2016-12-09,75.0,344,12,4,-0.35367612217637207,0.935367949313148,75.0,72.0,75.0,74.0,74.42857142857143,75.13333333333334,1.5118578920369654,0.0
2016-12-10,76.0,345,12,5,-0.33752289959411347,0.941317317512847,75.0,75.0,76.0,75.0,74.42857142857143,75.16666666666667,1.5118578920369654,1.0
2016-12-11,75.0,346,12,6,-0.32126966169236515,0.9469877530760751,76.0,75.0,73.0,74.0,74.71428571428571,75.2,1.3801311186847636,-1.0
2016-12-12,73.0,347,12,0,-0.3049212246562894,0.9523775757303973,75.0,76.0,74.0,76.0,74.57142857142857,75.1,1.5118578920369619,-2.0
2016-12-13,74.0,348,12,1,-0.2884824328806098,0.9574851883550389,73.0,75.0,76.0,77.0,74.28571428571429,75.0,1.3801311186847738,1.0
2016-12-14,72.0,349,12,2,-0.27195815753410524,0.9623090774541487,74.0,73.0,72.0,77.0,74.28571428571429,74.83333333333333,1.3801311186847738,-2.0
2016-12-15,72.0,350,12,3,-0.2553532951161881,0.9668478136052773,72.0,74.0,75.0,76.0,73.85714285714286,74.7,1.573591584938957,0.0
2016-12-16,73.0,351,12,4,-0.23867276600594997,0.9711000518829505,72.0,72.0,75.0,75.0,73.57142857142857,74.63333333333334,1.5118578920369918,1.0
2016-12-17,75.0,352,12,5,-0.22192151300416674,0.9750645322571945,73.0,72.0,76.0,76.0,73.42857142857143,74.6,1.272418020560807,2.0
2016-12-18,75.0,353,12,6,-0.20510449986861926,0.9787400799669153,75.0,73.0,75.0,75.0,73.42857142857143,74.6,1.272418020560807,0.0
2016-12-19,74.0,354,12,0,-0.1882267098432439,0.9821256058680006,75.0,75.0,73.0,76.0,73.57142857142857,74.53333333333333,1.2724180205608004,-1.0
2016-12-20,77.0,355,12,1,-0.1712931441814778,0.9852201067560606,74.0,75.0,74.0,76.0,74.0,74.56666666666666,1.8257418583506093,3.0
2016-12-21,75.0,356,12,2,-0.154308820664281,0.9880226656636976,77.0,74.0,72.0,74.0,74.42857142857143,74.6,1.6183471874254232,-2.0
2016-12-22,76.0,357,12,3,-0.13727877211326517,0.9905324521322227,75.0,77.0,72.0,75.0,75.0,74.63333333333334,1.2909944487358442,1.0
2016-12-23,75.0,358,12,4,-0.12020804489935275,0.9927487224577402,76.0,75.0,73.0,77.0,75.28571428571429,74.56666666666666,0.951189731211379,-1.0
2016-12-24,75.0,359,12,5,-0.10310169744743544,0.9946708199115211,75.0,76.0,75.0,77.0,75.28571428571429,74.5,0.951189731211379,0.0
2016-12-25,73.0,360,12,6,-0.0859647987374467,0.9962981749346077,75.0,75.0,75.0,74.0,75.0,74.46666666666667,1.2909944487358442,-2.0
2016-12-26,72.0,361,12,0,-0.06880242680232064,0.9976303053065857,73.0,75.0,74.0,76.0,74.71428571428571,74.33333333333333,1.7043362064927299,-1.0
2016-12-27,76.0,362,12,1,-0.05161966722325418,0.9986668162884759,72.0,73.0,77.0,74.0,74.57142857142857,74.4,1.5118578920369548,4.0
2017-07-03,76.0,184,7,0,-0.02581844022713239,-0.9996666485105112,76.0,77.0,74.0,73.0,75.28571428571429,76.33333333333333,1.6035674514746205,0.0
2017-07-04,75.0,185,7,1,-0.04302223300453034,-0.99907411510223,76.0,76.0,73.0,74.0,75.57142857142857,76.36666666666666,1.2724180205607807,-1.0
2017-07-05,78.0,186,7,2,-0.060213277365792774,-0.9981855344718586,75.0,76.0,73.0,76.0,76.28571428571429,76.43333333333334,0.9511897312113813,3.0
2017-07-06,77.0,187,7,3,-0.07738647923346322,-0.9970011699250151,78.0,75.0,76.0,76.0,76.42857142857143,76.46666666666667,0.9759000729485574,-1.0
2017-07-07,77.0,188,7,4,-0.09453674981719933,-0.9955213724144752,77.0,78.0,76.0,77.0,76.57142857142857,76.46666666666667,0.9759000729485429,0.0
2017-07-08,76.0,189,7,5,-0.11165900712169444,-0.9937465804361781,77.0,77.0,77.0,77.0,76.42857142857143,76.43333333333334,0.9759000729485574,-1.0
